date;time;precipitation
2021-05-05;06:00:00;0.2
2021-05-05;07:00:00;0.5
2021-05-05;08:00:00;0.6
2021-05-05;09:00:00;0.6
2021-05-05;10:00:00;0.5
2021-05-05;11:00:00;0.5
2021-05-05;12:00:00;0.3
2021-05-05;13:00:00;0.5
2021-05-05;14:00:00;0.3
2021-05-05;15:00:00;0.2
2021-05-05;16:00:00;0.2
2021-05-05;17:00:00;0.4
2021-05-05;18:00:00;0.3
2021-05-05;19:00:00;0.4
2021-05-05;20:00:00;0.1
2021-05-06;01:00:00;0.1
2021-05-06;18:00:00;0.1
2021-05-07;08:00:00;0.1
2021-05-07;09:00:00;0.2
2021-05-07;10:00:00;0.1
2021-05-08;19:00:00;2
2021-05-09;14:00:00;0.6
2021-05-09;16:00:00;0.2
2021-05-09;17:00:00;0.4
2021-05-09;18:00:00;0.1
2021-05-09;19:00:00;0.2
2021-05-09;20:00:00;0.2
2021-05-09;21:00:00;0.2
2021-05-09;22:00:00;0.6
2021-05-09;23:00:00;0.2
2021-05-10;02:00:00;0.7
2021-05-10;03:00:00;3
2021-05-10;04:00:00;1
2021-05-10;05:00:00;0.1
2021-05-10;10:00:00;0.6
2021-05-10;19:00:00;0.1
2021-05-14;13:00:00;0.1
2021-05-14;14:00:00;0.1
2021-05-14;21:00:00;2
2021-05-14;22:00:00;0.2
2021-05-14;23:00:00;0.4
2021-05-15;02:00:00;0.2
2021-05-15;06:00:00;0.3
2021-05-15;07:00:00;1
2021-05-15;14:00:00;0.2
2021-05-17;01:00:00;0.7
2021-05-17;02:00:00;2
2021-05-17;03:00:00;2
2021-05-17;04:00:00;1
2021-05-17;05:00:00;0.6
2021-05-17;06:00:00;0.5
2021-05-17;07:00:00;0.2
2021-05-17;17:00:00;0.2
2021-05-21;11:00:00;0.2
2021-05-21;13:00:00;1
2021-05-21;14:00:00;0.5
2021-05-21;15:00:00;0.5
2021-05-21;21:00:00;0.3
2021-05-22;16:00:00;2
2021-05-22;17:00:00;0.1
2021-05-22;18:00:00;0.8
2021-05-22;19:00:00;2
2021-05-22;20:00:00;0.3
2021-05-23;13:00:00;0.2
2021-05-23;14:00:00;1
2021-05-23;15:00:00;0.2
2021-05-24;11:00:00;0.1
2021-05-24;15:00:00;0.3
2021-05-26;00:00:00;0.8
2021-05-26;01:00:00;0.3
2021-05-26;02:00:00;0.2
2021-05-26;03:00:00;0.7
2021-05-26;04:00:00;0.2
2021-05-26;05:00:00;1
2021-05-26;06:00:00;1
2021-05-26;07:00:00;0.1
2021-05-26;08:00:00;0.2
2021-05-26;09:00:00;0.9
2021-05-26;10:00:00;2
2021-05-26;11:00:00;2
2021-05-26;12:00:00;2
2021-05-26;13:00:00;3
2021-05-26;14:00:00;2
2021-05-26;15:00:00;2
2021-05-26;16:00:00;1
2021-05-26;17:00:00;0.6
2021-05-26;18:00:00;0.6
2021-05-26;19:00:00;0.3
2021-05-26;20:00:00;0.5
2021-05-26;21:00:00;0.9
2021-05-26;22:00:00;1
2021-05-26;23:00:00;0.8
2021-05-27;00:00:00;0.6
2021-05-27;01:00:00;0.5
2021-05-27;04:00:00;0.4
2021-05-27;05:00:00;0.4
2021-05-27;06:00:00;0.2
2021-05-27;07:00:00;0.1
2021-05-27;08:00:00;0.4
2021-05-27;09:00:00;0.2
2021-05-27;11:00:00;0.1
2021-05-27;14:00:00;0.3
2021-05-27;15:00:00;0.2
2021-05-27;16:00:00;0.5
2021-05-27;17:00:00;0.3
2021-05-27;18:00:00;0.4
2021-05-27;19:00:00;0.3
2021-05-27;20:00:00;0.2
2021-05-27;22:00:00;0.3
2021-05-27;23:00:00;1
2021-05-28;00:00:00;0.6
